stop_name,lat,lng,accuracy,notes
Ratnapark,27.70600,85.31500,approx,
NAC,27.70330,85.31220,approx,Nepal Airlines building / New Road gate
Jamal,27.70950,85.31520,approx,
Lainchaur,27.71700,85.31450,approx,
Lazimpat,27.72150,85.31950,approx,
Panipokhari,27.73000,85.32300,approx,
President's Residence,27.73350,85.32800,approx,Sheetal Niwas
Teaching Hospital,27.73600,85.33050,approx,TU Teaching Hospital
Kanti Hospital,27.73450,85.33000,approx,
Narayan Gopal Chowk,27.74000,85.33750,approx,
Basundhara,27.74250,85.32900,approx,
Samakhusi,27.73550,85.31750,approx,
Gongabu,27.73500,85.31400,approx,
Gongabu Bus Park,27.73550,85.31300,approx,New Bus Park
Gangalal Hospital,27.74550,85.34350,approx,
Neuro Hospital,27.74750,85.34450,approx,
Golfutar,27.75350,85.34800,approx,
Telecom Chowk,27.75600,85.35000,rough,
Hattigauda,27.75900,85.35300,approx,
Chapali,27.76200,85.35600,rough,
Deuba Chowk,27.76450,85.35900,rough,
Budhanilkantha,27.76500,85.36270,approx,
Narayansthan,27.76550,85.36300,approx,Budhanilkantha temple area
Tripureshwor,27.69450,85.31400,approx,
Kupondole,27.68650,85.31650,approx,
Harihar Bhawan,27.68300,85.31750,approx,
Pulchowk,27.67900,85.31700,approx,
Jawalakhel,27.67290,85.31360,approx,
Kumaripati,27.67000,85.31900,approx,
Lagankhel,27.66670,85.32300,approx,Lagankhel Bus Park
Patan Hospital,27.66800,85.32050,approx,
Satdobato,27.65900,85.32500,approx,
Khumaltar,27.65600,85.32700,approx,
Chapagaun Dobato,27.66000,85.32400,rough,
Hattiban,27.64800,85.33000,approx,
Harisiddhi,27.63900,85.33550,approx,
Badegaun,27.62500,85.34450,rough,
Handigaun,27.61500,85.35500,rough,
Taukhel,27.60400,85.36800,rough,
Godawari,27.59600,85.37800,approx,
Dholahiti,27.64200,85.32400,rough,
Sunakothi,27.63300,85.32300,approx,
Thecho,27.62000,85.32000,approx,
Pyanggaun,27.61300,85.31800,rough,
Takhel,27.59900,85.31400,rough,
Tikabhairav,27.58700,85.31600,approx,
Lele,27.57900,85.32900,rough,
Gwarko,27.66650,85.33100,approx,
BNB Hospital,27.66400,85.32900,rough,
KIST Hospital,27.66600,85.33500,approx,
Ratomakai Chowk,27.66500,85.33900,rough,
Imadol Krishna Mandir,27.66250,85.34400,rough,
Imadol Police Chowki,27.66400,85.34700,rough,
Kamalpokhari,27.65900,85.35100,rough,Imadol area (not the Kathmandu Kamalpokhari)
Sanagaun,27.65050,85.36500,rough,
School Chowk,27.64600,85.37600,rough,
Lubhu,27.64400,85.38300,approx,
Dungin,27.64400,85.39300,rough,
Lamatar,27.64000,85.39900,rough,
Thankot,27.68800,85.21600,approx,
Tribhuvan Park,27.68800,85.22300,approx,
Checkpost,27.68900,85.23400,rough,
Satungal,27.69050,85.24900,approx,
Naikap,27.69200,85.26200,approx,
Dui Adda,27.69300,85.27200,rough,
Kalanki,27.69350,85.28100,approx,
Kalanki Mandir,27.69320,85.28350,approx,
Ravi Bhawan,27.69500,85.29000,approx,
Soltimode,27.69550,85.29600,approx,
Kalimati,27.69800,85.29900,approx,
Teku,27.69600,85.30600,approx,
Singha Durbar,27.69750,85.32300,approx,
Singha Durbar West,27.69800,85.31900,approx,
Maitighar,27.69400,85.32200,approx,
Bijuli Bazar,27.69000,85.33100,approx,
Buddhanagar,27.68850,85.33000,approx,
Babar Mahal,27.69200,85.32600,approx,
New Baneshwor,27.68900,85.33600,approx,
Minbhawan,27.68650,85.33950,approx,
Shantinagar,27.68700,85.34400,approx,
Tinkune,27.68550,85.34700,approx,
Gairigaun,27.69050,85.34800,approx,
Sinamangal,27.69300,85.35000,approx,
Tribhuvan International Airport,27.69660,85.35910,approx,
Bafal,27.70000,85.28300,approx,
Sitapaila,27.70750,85.28000,approx,
Swayambhu,27.71600,85.28500,approx,Ring Road stop below Swayambhunath
Banasthali,27.72500,85.29200,approx,
Balaju,27.73100,85.29900,approx,
Bungamati,27.62900,85.30100,approx,
Bhaisepati,27.64800,85.30500,approx,
Nakhkhu,27.66200,85.30600,approx,
Ekantakuna,27.66800,85.30800,approx,
Thapathali,27.69100,85.31900,approx,
Norvic Hospital,27.69050,85.31950,approx,
Prasuti Griha,27.69250,85.31850,approx,
Bhadrakali,27.69900,85.31550,approx,
Purano Bus Park,27.70400,85.31600,approx,Old Bus Park
Bagbazar Stop,27.70550,85.31850,approx,Bhaktapur Bus Park (Bagbazar)
Shahid Gate,27.70050,85.31600,approx,
Sundhara,27.70050,85.31250,approx,
Bir Hospital,27.70500,85.31350,approx,
Trauma Centre,27.70450,85.31300,approx,
Patan Dhoka,27.67800,85.32200,approx,
Gyaneshwor,27.70900,85.33100,approx,
Ratopul,27.70750,85.33750,approx,
Gaushala,27.70700,85.34400,approx,
Chabahil,27.71750,85.34600,approx,
Boudha,27.72060,85.35900,approx,
Jorpati,27.72300,85.37500,approx,
Dakshindhoka,27.72400,85.38900,rough,
Koteshwor,27.67800,85.34900,approx,
Jadibuti,27.67400,85.35700,approx,
Lokanthali,27.67500,85.36200,approx,
Kausaltar,27.67600,85.36800,approx,
Gatthaghar,27.67800,85.37400,approx,
Chardobato,27.67900,85.37900,rough,Thimi
Thimi,27.68000,85.38300,approx,Madhyapur Thimi
Radhe Radhe,27.67900,85.39300,approx,
Srijananagar,27.67800,85.40100,approx,
Tinkune (Bhaktapur),27.67600,85.40800,rough,
Sallaghari,27.67350,85.41500,approx,
Katunje Chowk,27.67000,85.41800,rough,
Chundevi,27.67000,85.41900,rough,
Barahi Movies,27.66800,85.42300,rough,
Suryabinayak,27.66600,85.42700,approx,
Adarsha,27.66200,85.43300,rough,
Jagati,27.65800,85.44000,approx,
Chyamasingh,27.67200,85.44000,rough,
Nalinchowk,27.65100,85.45200,rough,
Fun Valley,27.64500,85.46000,rough,
Palase,27.64400,85.46500,rough,
Sanga,27.64200,85.47200,approx,
Mahakali,27.67600,85.43000,rough,Bhaktapur
Mahalaxmi,27.67700,85.43500,rough,Bhaktapur
Kamalbinayak,27.67800,85.43900,approx,
Changu Narayan Bus Station (Dekocha),27.68000,85.42400,rough,
Changunarayan,27.71600,85.42700,approx,
Telkot,27.70500,85.47000,rough,
Nagarkot,27.71600,85.51900,approx,Nagarkot Bazaar
